#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,
Date,Time,AccountName,AccountDomain,SourceAddress,SourcePort,Sharename
7/31/2017,7:06 PM,MONICAC,AP1,10.80.19.111,55465,\\*\AGIHK
7/31/2017,7:06 PM,dataexu,AP1,10.42.160.25,64898,\\*\IPC$
7/31/2017,7:06 PM,_idshk,AP1,10.42.156.78,50568,\\*\IPC$
7/31/2017,7:06 PM,AGIHKGWSQ5DD$,ADASIAPAC,10.42.166.12,56640,\\*\SYSVOL
7/31/2017,7:06 PM,AGIHKGWSQ5DD$,ADASIAPAC,10.42.166.12,56640,\\*\IPC$
7/31/2017,7:05 PM,rmisp,AP1,10.80.24.173,59728,\\*\IPC$
7/31/2017,7:05 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61172,\\*\SYSVOL
7/31/2017,7:05 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61172,\\*\IPC$
7/31/2017,7:05 PM,dataexu,AP1,10.42.160.25,64896,\\*\IPC$
7/31/2017,7:05 PM,dataexp,AP1,10.42.156.118,53735,\\*\IPC$
7/31/2017,7:05 PM,_idshk,AP1,10.42.156.78,50565,\\*\IPC$
7/31/2017,7:05 PM,_wasadm,ADASIAPAC,10.42.160.12,57930,\\*\IPC$
7/31/2017,7:05 PM,_wasadm,ADASIAPAC,10.42.160.12,57925,\\*\IPC$
7/31/2017,7:04 PM,rmisp,AP1,10.80.24.173,59711,\\*\IPC$
7/31/2017,7:04 PM,_idshk,AP1,10.42.156.78,50564,\\*\IPC$
7/31/2017,7:03 PM,_idshk,AP1,10.42.156.78,50564,\\*\IPC$
7/31/2017,7:03 PM,_idshk,AP1,10.42.156.78,50564,\\*\AGIHK
7/31/2017,7:03 PM,rmisp,AP1,10.80.24.173,59698,\\*\IPC$
7/31/2017,7:03 PM,_idshk,AP1,10.42.156.78,50562,\\*\IPC$
7/31/2017,7:02 PM,rmisp,AP1,10.80.24.173,59683,\\*\IPC$
7/31/2017,7:02 PM,_idshk,AP1,10.42.156.78,50559,\\*\IPC$
7/31/2017,7:01 PM,MONICAC,AP1,10.80.19.111,55232,\\*\IPC$
7/31/2017,7:01 PM,MONICAC,AP1,10.80.19.111,55232,\\*\AGIHK
7/31/2017,7:01 PM,MONICAC,AP1,10.80.19.111,55231,\\*\IPC$
7/31/2017,7:01 PM,AGIHKGRAI14D$,ADASIAPAC,183.111.2.48,51710,\\*\SYSVOL
7/31/2017,7:01 PM,AGIHKGRAI14D$,ADASIAPAC,183.111.2.48,51710,\\*\IPC$
7/31/2017,7:01 PM,_idshk,AP1,10.42.156.78,50557,\\*\AGIHK
